JP	2015-12-23	Emperor's Birthday
JP	2015-11-03	Culture Day
JP	2015-05-06	Constitution Memorial Day observed
JP	2016-05-03	Constitution Memorial Day
JP	2016-01-11	Coming of Age Day
JP	2016-03-20	Spring Equinox
JP	2014-03-21	Spring Equinox
JP	2014-10-13	Sports Day
JP	2016-07-18	Sea Day
JP	2015-07-20	Sea Day
JP	2014-07-21	Sea Day
JP	2015-09-21	Respect for the Aged Day
JP	2014-09-15	Respect for the Aged Day
JP	2014-01-01	New Year's Day
JP	2016-02-11	National Foundation Day
JP	2016-11-23	Labor Thanksgiving Day
JP	2014-05-03	Constitution Memorial Day
JP	2015-05-05	Children's Day
JP	2015-09-22	Bridge Public holiday
JP	2014-09-23	Autumn Equinox
JP	2015-01-12	Coming of Age Day
JP	2014-01-13	Coming of Age Day
JP	2016-09-22	Autumn Equinox
JP	2015-09-23	Autumn Equinox
US	2015-12-26	Day After Christmas Day
US	2016-10-10	Columbus Day
US	2015-10-12	Columbus Day
US	2014-10-13	Columbus Day
US	2016-09-05	Labor Day
US	2015-07-03	Independence Day observed
US	2014-06-15	Fathers' Day
US	2014-04-20	Easter Sunday
US	2016-11-11	Veterans Day
US	2014-11-11	Veterans Day
US	2016-11-24	Thanksgiving Day
US	2014-11-27	Thanksgiving Day
US	2014-02-17	Presidents' Day (Washington's Birthday)
US	2016-01-18	Martin Luther King Day
US	2014-01-20	Martin Luther King Day
US	2015-09-07	Labor Day
US	2016-07-04	Independence Day
US	2016-11-08	Election Day
US	2015-04-05	Easter Sunday
US	2015-12-25	Christmas Day
US	2015-11-11	Veterans Day
US	2016-02-14	Valentine's Day
US	2016-04-13	Thomas Jefferson's Birthday
US	2015-04-13	Thomas Jefferson's Birthday
US	2014-04-13	Thomas Jefferson's Birthday
US	2015-11-26	Thanksgiving Day
US	2015-02-16	Presidents' Day (Washington's Birthday)
US	2016-12-31	New Year's Eve
US	2015-12-31	New Year's Eve
US	2016-01-01	New Year's Day
US	2016-05-08	Mothers' Day
US	2015-05-10	Mothers' Day
US	2014-05-11	Mothers' Day
US	2015-05-25	Memorial Day
US	2014-05-26	Memorial Day
US	2015-01-19	Martin Luther King Day
US	2015-07-04	Independence Day
US	2016-10-31	Halloween
US	2016-06-19	Fathers' Day
US	2015-06-21	Fathers' Day
US	2016-03-27	Easter Sunday
US	2015-11-01	Daylight Saving Time ends
US	2014-11-02	Daylight Saving Time ends
US	2016-12-24	Christmas Eve
US	2015-12-24	Christmas Eve
US	2016-12-26	Christmas Day observed
US	2015-02-14	Valentine's Day
US	2014-02-14	Valentine's Day
US	2016-02-15	Presidents' Day (Washington's Birthday)
US	2014-12-31	New Year's Eve
US	2015-01-01	New Year's Day
US	2014-01-01	New Year's Day
US	2016-05-30	Memorial Day
US	2014-09-01	Labor Day
US	2014-07-04	Independence Day
US	2015-10-31	Halloween
US	2014-10-31	Halloween
US	2015-03-08	Daylight Saving Time starts
US	2014-03-09	Daylight Saving Time starts
US	2014-12-24	Christmas Eve
US	2016-12-25	Christmas Day
US	2014-12-25	Christmas Day
LT	2014-02-14	Valentine's Day
LT	2014-06-24	St John's Day/Day of Dew
LT	2015-12-26	Second Day of Christmas
LT	2014-12-26	Second Day of Christmas
LT	2014-12-31	New Year's Eve
